,Unnamed: 0,Track.Name,Artist.Name,Genre,Beats.Per.Minute,Energy,Danceability,Loudness..dB..,Liveness,Valence.,Length.,Acousticness..,Speechiness.,Popularity,song_name,artist_name,merge_index,song_lyric
37,38,Antisocial (with Travis Scott),Ed Sheeran,pop,152,82,72,-5,36,91,162,13,5,87,antisocial,ed-sheeran,ed-sheeran_antisocial,"('Cause it's about to happen)

Friday night and I'm ridin' solo (yeah)
When I touch down, keep it on the low-low (it's lit)
I don't mess with your energy (no), no photos (ayy)
So antisocial, but I don't care (ayy)
Don't give a damn, I'm gonna smoke here (ayy, pop it)
Got a bottle in my hand bring more though (ayy, pop it, pop it)
Got my hat low, don't talk to me (straight up)

I've been down, give me some space
You don't know what's in my brain
Music loud, easin' my pain
(Yeah, yeah, yeah, yeah)

Don't touch me, don't touch me
Don't touch me, I came to vibe, yeah
On something, on something
On something, I wanna riot
Don't touch me, don't touch me
Don't touch me, I came to vibe, yeah
Won't let nothing come in between me and the night (straight up)
...

******* This Lyrics is NOT for Commercial use *******"
38,39,Sucker,Jonas Brothers,boy band,138,73,84,-5,11,95,181,4,6,80,sucker,jonas-brothers,jonas-brothers_sucker,"We go together
Better than birds of a feather, you and me
We change the weather, yeah
I'm feeling heat in December when you're 'round me

I've been dancing on top of cars and stumbling out of bars
I follow you through the dark, can't get enough
You're the medicine and the pain, the tattoo inside my brain
And, baby, you know it's obvious

I'm a sucker for you
Say the word and I'll go anywhere blindly
I'm a sucker for you, yeah
Any road you take, you know that you'll find me
I'm a sucker for all the subliminal things
No one knows about you, about you, about you, about you
And you're making the typical me, break my typical rules
It's true, I'm a sucker for you, yeah
...

******* This Lyrics is NOT for Commercial use *******"
39,40,"fuck, i'm lonely (with Anne-Marie) - from 13 Reasons Why: Season 3",Lauv,dance pop,95,56,81,-6,6,68,199,48,7,78,"fuck,-im-lonely----from-13-reasons-why:-season-3",lauv,"lauv_fuck,-im-lonely----from-13-reasons-why:-season-3","I call you one time, two time, three time
I can't wait no more
Your fingers through my hair that's on my mind
I know it's been a minute since you walked right through that door
But I still think about you all the time

I don't know, I don't know
How I'm gonna make it out
I don't know, I don't know
Now you got me saying

Fuck, I'm lonely
I'm lonely, I'm lonely as fuck
Come hold me, come hold me, come hold me
It's been me, myself and why
Did you go? Did you go?
Oh, fuck, I'm lonely
I'm lonely, I'm lonely, lonely, I

Yeah, I still watch the shows you showed me
Yeah, I still drink that wine
...

******* This Lyrics is NOT for Commercial use *******"
40,41,Higher Love,Kygo,edm,104,68,69,-7,10,40,228,2,3,88,higher-love,kygo,kygo_higher-love,"Think about it, there must be a Higher Love
Down in the heart or hidden in the stars above
Without it, life is wasted time
Look inside your heart, and I'll look inside mine

Things look so bad everywhere
In this whole world, what is fair?
We walk the line and try to see
Falling behind in what could be, oh

Bring me a Higher Love
Bring me a Higher Love, oh
Bring me a Higher Love
Where's that Higher Love I keep thinking of?

Bring me Higher Love, love
Bring Higher Love (oh)
Bring me Higher Love, love
Bring me a Higher Love
Bring me Higher Love, love
...

******* This Lyrics is NOT for Commercial use *******"
41,42,You Need To Calm Down,Taylor Swift,dance pop,85,68,77,-6,7,73,171,1,5,90,you-need-to-calm-down,taylor-swift,taylor-swift_you-need-to-calm-down,"You are somebody that I don't know
But you're taking shots at me like it's Patrón
And I'm just like ""Damn, it's 7 AM""
Say it in the street, that's a knock-out
But you say it in a Tweet, that's a cop-out
And I'm just like, ""Hey, are you OK?""

And I ain't trying mess with your self-expression
But I've learned the lesson that stressin'
And obsessin' 'bout somebody else is no fun
And snakes and stones never broke my bones so

Oh-oh, oh-oh, oh-oh, oh-oh, oh-oh
You need to calm down
You're being too loud
And I'm just like oh-oh, oh-oh, oh-oh, oh-oh, oh-oh
You need to just stop
Like, can you just not step on my gown?
...

******* This Lyrics is NOT for Commercial use *******"
42,43,Shallow,Lady Gaga,dance pop,96,39,57,-6,23,32,216,37,3,87,shallow,lady-gaga,lady-gaga_shallow,"Tell me somethin', girl
Are you happy in this modern world?
Or do you need more?
Is there somethin' else you're searchin' for?
I'm fallin'
In all the good times I find myself longin' for change
And in the bad times, I fear myself

Tell me something, boy
Aren't you tired tryin' to fill that void?
Or do you need more?
Ain't it hard keepin' it so hardcore?
...

******* This Lyrics is NOT for Commercial use *******"
43,44,Talk,Khalid,pop,136,40,90,-9,6,35,198,5,13,84,talk,khalid,khalid_talk,ERROR
44,45,Con Altura,ROSALÍA,r&b en espanol,98,69,88,-4,5,75,162,39,12,88,con-altura,rosalía,rosalía_con-altura,"Esto vamo' a arrancarlo con altura
El dembow lo canto con hondura
Dicen una estrella, una figura
De Hector aprendí la sabrosura
Nunca viste una joya tan pura

Esto es pa' que quede, lo que yo hago dura (Con altura)
Demasiada' noches de travesura' (Con altura)
Vivo rápido y no tengo cura (Con altura)
Iré joven pa' la sepultura (Con altura)

Esto es pa' que quede, lo que yo hago dura (Con altura)
Demasiada' noches de travesura' (Con altura)
Vivo rápido y no tengo cura (Con altura)
Iré joven pa' la sepultura (Con altura)

Pongo rosas sobre el Panamera
Pongo palmas sobre la guantanamera
Llevo a Camarón en la guantera (De la Isla)
Lo hago para mi gente y lo hago a mi manera

Flores azules y quilates y si es mentira que me maten
Flores azules y quilates y si es mentira que me maten
(Con altura)
(Con altura)

Esto es pa' que quede, lo que yo hago dura (Con altura)
...

******* This Lyrics is NOT for Commercial use *******"
45,46,One Thing Right,Marshmello,brostep,88,62,66,-2,58,44,182,7,5,88,one-thing-right,marshmello,marshmello_one-thing-right,"I've cheated and I've lied
I've broke down and I've cried
I've got nothing to hide no more
I've loved and I've hurt
I've broken people down with words
More grace than I deserved, for sure

Known to be crazy, known to be wild
Mama had herself a little devilish child
Ain't no stranger to the troubles at my door

I've been at the wrong place at the wrong time
Chasin' all the wrong things most of my life
Been every kinda lost that you can't find
But I got one thing right
Been the kind of guy girl's mamas don't like
Runnin' with the wrong crowd on the wrong nights
'Cause I've been wrong about a million times
But I got one thing right
...

******* This Lyrics is NOT for Commercial use *******"
46,47,Te Robaré,Nicky Jam,latin,176,75,67,-4,8,80,202,24,6,88,te-robaré,nicky-jam,nicky-jam_te-robaré,"No te me tiene' que desesperar
Y si conmigo yo te quiero llevar
El tiempo lo podemo' controlar y darte to'a la noche

No te desespere' que esta noche, yo te robaré
Yo sé que tú quiere', tú tranquila, que te lo daré
No te desespere', que esta noche, yo te robaré
Yo sé que tú quiere', tú tranquila, que te lo daré (O-Ozuna)

Es maldito el que confía en las mujere'
No sé que tiene mi cuerpo que a ti te quiere (Te quiere)
Solo me busca' cada ve' que te conviene (Conviene)
Pero eso e' lo que mi corazón sostiene

Que tú ere' mala, mala que tú ere' (Oh-oh, oh-oh)
Blanca, pelo negro, bien ricote que tú huele' (Tú huele')
Dice que quiere verme, pero sé por dónde viene
Si me ve con otra, rápido la intercede

(Ma-ma) Mami, si a mí tú no me quiere'
¿Por qué no me habla' claro?
Me llama' cuando te conviene
Cuando contigo quiere' que sea malo
Quiere' que sea malo (Uoh-oh)
...

******* This Lyrics is NOT for Commercial use *******"
47,48,Happier,Marshmello,brostep,100,79,69,-3,17,67,214,19,5,88,happier,marshmello,marshmello_happier,"Lately, I've been, I've been thinking
I want you to be happier
I want you to be happier

When the morning comes
When we see what we've become
In the cold light of day we're a flame in the wind
Not the fire that we've begun

Every argument
Every word we can't take back
'Cause with all that has happened
I think that we both know the way that this story ends

Then only for a minute
I want to change my mind
'Cause this just don't feel right to me

I wanna raise your spirits
I want to see you smile but
Know that means I'll have to leave

Know that means I'll have to leave

Lately, I've been, I've been thinking
I want you to be happier
I want you to be happier
...

******* This Lyrics is NOT for Commercial use *******"
48,49,Call You Mine,The Chainsmokers,edm,104,70,59,-6,41,50,218,23,3,88,call-you-mine,the-chainsmokers,the-chainsmokers_call-you-mine,ERROR
49,50,Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,pop,95,79,75,-6,7,61,206,21,12,82,cross-me,ed-sheeran,ed-sheeran_cross-me,ERROR
